,nome_munic,doseunica,segundadose,primeiradose
615,APARECIDA,927,19968,27604
616,ANHUMAS,83,2713,3245
617,ANHEMBI,148,3709,5107
618,ANGATUBA,477,14366,19101
619,ANDRADINA,1294,36495,46750
620,ANALÂNDIA,120,2646,3631
621,AMPARO,1758,46426,59676
622,AMÉRICO DE CAMPOS,125,4013,4836
623,AMÉRICO BRASILIENSE,1088,20795,28142
624,AMERICANA,6210,146948,189525
625,ALVINLÂNDIA,68,1858,2481
626,ÁLVARO DE CARVALHO,107,3156,5350
627,ÁLVARES MACHADO,600,14942,19664
628,ÁLVARES FLORENCE,80,2782,3292
629,ALUMÍNIO,508,8352,13710
630,ALTO ALEGRE,100,2783,3347
631,ALTINÓPOLIS,384,11289,13465
632,ALTAIR,115,2169,2898
633,ALFREDO MARCONDES,83,3208,3814
634,ALAMBARI,171,3534,4639
635,AGUDOS,873,23104,31566
636,ÁGUAS DE SÃO PEDRO,58,2808,3406
637,ÁGUAS DE SANTA BÁRBARA,136,4001,5086
638,ÁGUAS DE LINDÓIA,463,12703,16233
639,ÁGUAS DA PRATA,193,5039,6539
640,AGUAÍ,1042,21314,27270
641,ADOLFO,77,2949,3666
642,ADAMANTINA,878,23053,29416
