,nome_munic,doseunica,primeiradose,segundadose,terceiradose,pop
152,RINCÃO,291,7667,6859,690,10496
153,RIFAINA,89,3451,2961,286,3468
154,RIBEIRÃO PRETO,20178,548530,466693,53816,683777
155,RIBEIRÃO PIRES,3338,94820,82857,7531,118968
156,RIBEIRÃO GRANDE,171,6496,5968,438,7510
157,RIBEIRÃO DOS ÍNDIOS,44,1828,1695,377,2141
158,RIBEIRÃO DO SUL,80,3916,3616,479,4360
159,RIBEIRÃO CORRENTE,132,3996,3475,247,4664
160,RIBEIRÃO BRANCO,376,14308,12425,837,17685
161,RIBEIRÃO BONITO,321,9465,8349,870,12959
162,RIBEIRA,58,2818,2306,230,3242
163,RESTINGA,168,5759,5082,324,7493
164,REGISTRO,1082,48611,37797,3742,54216
165,REGINÓPOLIS,72,8195,7678,635,7215
166,REGENTE FEIJÓ,473,16205,14771,1375,19491
167,REDENÇÃO DA SERRA,86,3406,3064,289,3837
168,RANCHARIA,706,24190,21844,2221,28847
169,RAFARD,246,7643,5821,522,8976
170,QUINTANA,149,5388,4999,592,6500
171,QUELUZ,295,8111,6683,573,12644
172,QUEIROZ,85,2730,2482,230,3279
173,QUATÁ,340,10774,9666,977,13935
174,QUADRA,114,2994,2611,145,3708
175,PROMISSÃO,1055,28562,24910,2861,39667
176,PRESIDENTE VENCESLAU,946,29560,25254,3257,38005
177,PRESIDENTE PRUDENTE,5199,190604,162748,19527,221073
178,PRESIDENTE EPITÁCIO,916,31771,27504,2568,42400
179,PRESIDENTE BERNARDES,237,13393,9830,1436,13720
180,PRESIDENTE ALVES,102,3291,2864,330,4020
181,PRATÂNIA,129,4454,3937,311,5156
182,PRAIA GRANDE,8151,271478,212996,20633,316844
183,PRADÓPOLIS,682,14652,12444,985,20907
184,PRACINHA,10,2815,2694,177,2913
185,POTIRENDABA,480,14634,12262,1601,16605
186,POTIM,515,18670,14756,979,20702
187,PORTO FERREIRA,1391,44100,36317,3716,54102
188,PORTO FELIZ,1343,43464,37826,2815,51697
189,PORANGABA,224,7981,7105,807,9310
190,POPULINA,84,3626,3308,501,3995
191,PONTES GESTAL,61,2090,1895,246,2528
192,PONTALINDA,107,3332,2977,331,4487
193,PONTAL,1600,32148,26293,1605,49283
194,PONGAÍ,81,2869,2678,381,3351
195,POMPÉIA,533,17067,14016,1445,21282
196,POLONI,153,5037,4722,738,5667
197,POÁ,2939,91298,70813,6208,115538
198,PLATINA,77,2658,2460,311,3501
199,PLANALTO,130,3738,3372,314,5167
200,PITANGUEIRAS,1150,27485,23248,2383,38584
201,PIRATININGA,340,11853,10545,969,13213
202,PIRASSUNUNGA,1709,60177,50027,5400,73706
203,PIRAPOZINHO,563,20348,17664,1397,27213
204,PIRAPORA DO BOM JESUS,445,15252,10482,656,18851
205,PIRANGI,268,9048,8142,1184,10823
206,PIRAJUÍ,328,18113,13575,719,23259
207,PIRAJU,562,25102,21228,2663,28574
208,PIRACICABA,10727,336376,293623,26824,389873
209,PIRACAIA,696,23528,20238,1842,26287
210,PIQUETE,342,10559,9045,780,13647
211,PIQUEROBI,54,2781,2175,355,3535
212,PINHALZINHO,401,12595,11541,994,14755
213,PINDORAMA,425,12166,11058,1659,16255
214,PINDAMONHANGABA,4435,130799,106778,7971,163611
215,PILAR DO SUL,680,23716,20748,1726,28221
216,PIEDADE,1563,45019,35001,2328,53536
217,PIACATU,133,4622,3985,489,5891
218,PERUÍBE,1349,58001,45899,5155,66201
219,PEREIRAS,220,6580,5595,700,8428
220,PEREIRA BARRETO,576,20287,17062,1873,25391
221,PENÁPOLIS,1322,50735,42329,4829,60774
222,PEDRO DE TOLEDO,191,8170,6796,793,10977
223,PEDRINHAS PAULISTA,55,2514,2383,379,3010
224,PEDREIRA,1339,37182,31312,3048,46548
225,PEDREGULHO,384,13656,10989,1355,16279
226,PEDRANÓPOLIS,56,2382,2012,292,2422
227,PEDRA BELA,165,5481,4960,509,5964
228,PEDERNEIRAS,1201,36285,29063,2641,45570
229,PAULO DE FARIA,185,7099,6170,940,8521
230,PAULISTÂNIA,38,1663,1523,200,1769
231,PAULÍNIA,2938,85500,72090,5754,105037
232,PAULICÉIA,205,5985,5247,447,7146
233,PATROCÍNIO PAULISTA,326,11782,10488,998,14463
234,PARISI,45,2167,1971,317,2054
235,PARIQUERA-AÇU,379,16031,13715,2159,19251
236,PARDINHO,154,5756,4551,399,6392
237,PARAPUÃ,235,8648,7359,1024,10507
238,PARANAPUÃ,91,3486,3194,441,3892
239,PARANAPANEMA,520,15930,13640,1079,19962
240,PARAÍSO,164,4866,4323,562,6269
241,PARAIBUNA,421,14431,12493,912,18230
242,PARAGUAÇU PAULISTA,1047,34875,31460,3181,44180
243,PANORAMA,274,11646,9995,955,15199
244,PALMITAL,474,17662,15664,2184,21599
245,PALMEIRA D'OESTE,193,7777,7139,1226,9130
246,PALMARES PAULISTA,451,7674,6878,616,12997
247,PALESTINA,347,9453,8459,1001,12160
248,PACAEMBU,291,13669,10156,1282,13056
249,OUROESTE,259,8561,7385,876,9777
250,OURO VERDE,168,6251,5383,554,8268
251,OURINHOS,2119,87254,70870,8373,110489
252,OSVALDO CRUZ,721,26461,24004,3091,31263
253,OSCAR BRESSANE,46,2144,1914,295,2514
254,OSASCO,18654,600565,442084,31677,680964
255,ORLÂNDIA,1137,31697,26833,2307,42266
256,ORINDIÚVA,195,5021,4794,458,6866
257,ORIENTE,167,5132,4493,459,6265
258,ONDA VERDE,103,3837,3397,335,4225
259,OLÍMPIA,1383,46190,39252,4211,52516
260,ÓLEO,54,2395,2049,223,2527
261,OCAUÇU,102,3556,3384,461,4146
262,NUPORANGA,171,6155,5219,617,7268
263,NOVO HORIZONTE,1043,32309,28792,3252,38954
264,NOVAIS,142,3643,2966,392,5509
265,NOVA ODESSA,1776,46352,38049,2627,58039
266,NOVA LUZITÂNIA,126,2486,2219,311,4044
267,NOVA INDEPENDÊNCIA,88,4539,3117,339,3731
268,NOVA GUATAPORANGA,35,1899,1780,178,2191
269,NOVA GRANADA,557,16243,14757,1562,20918
270,NOVA EUROPA,299,7718,6690,666,10749
271,NOVA CASTILHO,20,941,881,104,1176
272,NOVA CANAÃ PAULISTA,25,1704,1616,284,1937
273,NOVA CAMPINA,226,7208,6931,606,9675
274,NOVA ALIANÇA,165,5776,5181,683,6450
275,NIPOÃ,155,4031,3297,299,4969
276,NHANDEARA,240,8672,7783,1244,10782
277,NEVES PAULISTA,228,7931,6997,1203,8620
278,NAZARÉ PAULISTA,457,15248,12291,1040,18445
279,NATIVIDADE DA SERRA,148,5877,4598,384,6698
280,NARANDIBA,123,4264,3757,395,4841
281,NANTES,59,2261,2010,203,3071
282,MURUTINGA DO SUL,91,3248,3016,536,4281
283,MOTUCA,123,3466,3250,382,4638
284,MORUNGABA,353,11550,9640,837,13247
285,MORRO AGUDO,906,22757,20021,1725,32332
286,MONTEIRO LOBATO,89,3684,3039,289,4465
287,MONTE MOR,1841,51895,39098,1921,59614
288,MONTE CASTELO,88,3376,3167,373,3991
289,MONTE AZUL PAULISTA,338,15436,13179,1639,18191
290,MONTE APRAZÍVEL,672,18681,16594,2079,23458
291,MONTE ALTO,1160,40278,36582,3615,48405
292,MONTE ALEGRE DO SUL,189,6551,5798,530,7749
293,MONGAGUÁ,1183,47310,33770,2873,54610
294,MONÇÕES,50,1759,1652,216,2175
295,MOMBUCA,70,3010,2446,282,3332
296,MOGI MIRIM,2424,77203,65992,6786,90439
297,MOGI GUAÇU,3992,119991,102057,7865,148325
298,MOGI DAS CRUZES,10170,342754,289415,26950,432905
299,MOCOCA,1662,57926,48895,5200,66753
300,MIRASSOLÂNDIA,120,4210,3726,487,4702
301,MIRASSOL,1692,49442,44809,3485,57824
302,MIRANTE DO PARANAPANEMA,361,13429,11189,1160,17769
303,MIRANDÓPOLIS,525,24595,20216,2667,28646
